incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
274168,2015-01-01,Oklahoma,Tulsa,0,2,Shot - Wounded/Injured||Bar/club incident - in or around establishment,36.0934,-95.887,,0::27||1::26,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Injured||1::Injured||2::Unharmed,0::Victim||1::Victim||2::Subject-Suspect
272935,2015-01-01,New Jersey,Jersey City,0,3,Shot - Wounded/Injured,40.7155,-74.0834,,0::55||1::44||2::44,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,0::Injured||1::Injured||2::Injured,0::Victim||1::Victim||2::Victim
272343,2015-01-01,Ohio,Lorain,0,3,Shot - Wounded/Injured||Bar/club incident - in or around establishment,41.446000000000005,-82.119,,0::18||1::25||2::27,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,0::Injured||1::Injured||2::Injured,0::Victim||1::Victim||2::Victim
272307,2015-01-01,New York,Rochester,0,1,Shot - Wounded/Injured||Bar/club incident - in or around establishment,43.1979,-77.6356,,0::22,0::Adult 18+,0::Male,,0::Injured,0::Victim
272309,2015-01-01,New York,Rochester,0,1,Shot - Wounded/Injured,43.18899999999999,-77.5842,,0::26,0::Adult 18+,0::Male,,0::Injured,0::Victim
272618,2015-01-01,Michigan,Saint Joseph,1,0,"Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental Shooting - Death",42.119,-86.4792,1.0,0::55,0::Adult 18+,0::Female,,0::Killed,0::Victim
271995,2015-01-01,New York,Staten Island,0,2,Shot - Wounded/Injured||Armed robbery with injury/death and/or evidence of DGU found,40.5645,-74.186,,0::28||1::30||2::36||3::39||4::37,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,2::Male||3::Male||4::Male,2::Armed Robbery||3::Armed Robbery||4::Armed Robbery,"0::Injured||1::Injured||2::Unharmed, Arrested||3::Unharmed, Arrested||4::Unharmed, Arrested",0::Victim||1::Victim||2::Subject-Suspect||3::Subject-Suspect||4::Subject-Suspect
273507,2015-01-01,Florida,Alachua,0,0,Shots Fired - No Injuries||Non-Shooting Incident||Domestic Violence||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator ),29.7391,-82.4178,1.0,1::43,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,"0::Unharmed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
271945,2015-01-01,Illinois,Chicago,0,1,Shot - Wounded/Injured,41.8797,-87.7355,,,0::Adult 18+,0::Male,,0::Injured,0::Victim
283999,2015-01-01,Indiana,Cumberland,0,0,Shots Fired - No Injuries||Non-Shooting Incident,39.7909,-85.9796,,,,,,,
272753,2015-01-01,Florida,Orange Park,1,0,"Shot - Dead (murder, accidental, suicide)||Defensive Use",30.1021,-81.7257,1.0,0::22||1::28,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Arrested,0::Victim||1::Subject-Suspect
828118,2015-01-01,Virginia,Arlington,0,0,Non-Shooting Incident||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person||Unlawful purchase/sale,38.8557,-77.0873,1.0,0::28,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
271986,2015-01-01,California,Stockton,1,0,"Shot - Dead (murder, accidental, suicide)",37.9624,-121.288,,,0::Adult 18+,0::Male,,0::Killed,0::Victim
272269,2015-01-01,Texas,Lubbock,1,0,"Shot - Dead (murder, accidental, suicide)",33.5561,-101.851,1.0,0::36||1::23,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
272526,2015-01-01,California,Fresno,0,0,Shots Fired - No Injuries||Gang involvement||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,36.7307,-119.76899999999999,5.0,0::19||1::26||2::25||3::20,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,"0::Unharmed, Arrested||1::Unharmed, Arrested||2::Unharmed, Arrested||3::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect
283465,2015-01-01,Oklahoma,Lawton,0,1,Shot - Wounded/Injured||Accidental Shooting||Accidental Shooting - Injury||Accidental/Negligent Discharge||Possession of gun by felon or prohibited person,34.5943,-98.3771,2.0,,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,"0::Injured||1::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect
