incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
834690,2017-05-01,Maine,Fryeburg,0,0,Non-Shooting Incident||Domestic Violence||Brandishing/flourishing/open carry/lost/found,44.0145,-70.9802,2.0,0::47,0::Adult 18+,0::Male,,0::Arrested,0::Subject-Suspect
843044,2017-05-01,New York,Brooklyn,0,0,Shots Fired - No Injuries,40.5741,-73.9974,1.0,,,,,,
934697,2017-05-01,New York,Hudson,0,1,Shot - Wounded/Injured,42.2508,-73.785,1.0,0::30,0::Adult 18+,0::Male,,0::Injured,0::Victim
833929,2017-05-01,Delaware,Wilmington,0,1,Shot - Wounded/Injured,39.7392,-75.5649,1.0,0::20,0::Adult 18+,0::Male,,0::Injured,0::Victim
832965,2017-05-01,Alabama,Birmingham,0,1,Shot - Wounded/Injured,33.545,-86.7497,1.0,,0::Adult 18+,0::Female,,0::Injured,0::Victim
832967,2017-05-01,South Carolina,Longs,0,0,"Shots Fired - No Injuries||Drive-by (car to street, car to car)",33.9455,-78.7544,1.0,,,,,,
832979,2017-05-01,Georgia,Atlanta,0,0,Shots Fired - No Injuries||Domestic Violence,33.736999999999995,-84.4128,1.0,,,0::Female,,0::Unharmed,0::Subject-Suspect
832984,2017-05-01,Georgia,Atlanta,0,0,Shots Fired - No Injuries,33.7561,-84.493,1.0,,,,,,0::Subject-Suspect
833008,2017-05-01,Texas,Killeen,0,1,Shot - Wounded/Injured||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,31.0814,-97.7599,1.0,0::71,0::Adult 18+||1::Adult 18+,0::Female||1::Female,,0::Injured||1::Arrested,0::Victim||1::Subject-Suspect
833903,2017-05-01,Florida,West Palm Beach,0,1,Shot - Wounded/Injured,26.7038,-80.0737,1.0,0::19,0::Adult 18+,0::Male,,0::Injured,0::Victim
835433,2017-05-01,California,Bakersfield,1,0,"Shot - Dead (murder, accidental, suicide)",,,1.0,,0::Adult 18+,0::Male,,0::Killed,0::Victim
833924,2017-05-01,Florida,Daytona Beach,0,0,Institution/Group/Business||Shots Fired - No Injuries||Bar/club incident - in or around establishment||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator ),29.2259,-81.0091,1.0,0::63,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
833868,2017-05-01,Alabama,Birmingham,1,0,"Shot - Dead (murder, accidental, suicide)",33.5408,-86.8003,1.0,0::34,0::Adult 18+,0::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect
833964,2017-05-01,North Carolina,Lexington,0,1,Shot - Wounded/Injured,35.8381,-80.2569,1.0,0::42,0::Adult 18+,0::Male,,0::Injured,0::Victim
833871,2017-05-01,Michigan,Muskegon,1,0,"Shot - Dead (murder, accidental, suicide)||Institution/Group/Business||Non-Aggression Incident||Accidental Shooting||Accidental Shooting - Death||Accidental/Negligent Discharge||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff||Possession of gun by felon or prohibited person||Brandishing/flourishing/open carry/lost/found||Stolen/Illegally owned gun{s} recovered during arrest/warrant",43.2219,-86.20100000000001,2.0,0::15||1::18||2::18,0::Teen 12-17||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,1::Family||2::Friends,"0::Killed||1::Unharmed, Arrested||2::Unharmed, Arrested",0::Victim||1::Subject-Suspect||2::Subject-Suspect
