incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
903853,2017-08-01,Illinois,Chicago,0,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.8954,-87.7175,1.0,0::66||1::17||2::31||3::31,0::Adult 18+||1::Teen 12-17||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,4::Mass shooting - Random victims,0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect
904056,2017-08-01,Alabama,Anniston,0,2,Shot - Wounded/Injured,33.635,-85.7718,1.0,,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Injured||1::Injured,0::Victim||1::Victim
904059,2017-08-01,Texas,Big Spring,0,1,Shot - Wounded/Injured,32.2481,-101.45700000000001,1.0,0::37||1::28,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
904124,2017-08-01,Indiana,Greenwood,0,1,Shot - Wounded/Injured||Accidental Shooting||Accidental Shooting - Injury||Accidental/Negligent Discharge||Domestic Violence,39.6256,-86.17200000000001,1.0,0::46||1::45,0::Adult 18+||1::Adult 18+,0::Female||1::Male,1::Family,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
903108,2017-08-01,Pennsylvania,New Castle,0,1,Shot - Wounded/Injured,40.9855,-80.3466,1.0,,,,,0::Injured,0::Victim
904075,2017-08-01,Louisiana,Baton Rouge,0,2,Shot - Wounded/Injured,30.4626,-91.0459,1.0,0::31||1::25,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Injured||1::Injured,0::Victim||1::Victim
904081,2017-08-01,Arkansas,Little Rock,0,1,Shot - Wounded/Injured||Armed robbery with injury/death and/or evidence of DGU found,34.7032,-92.3295,1.0,0::25,0::Adult 18+,0::Male,,0::Injured,0::Victim||1::Subject-Suspect
903770,2017-08-01,Wisconsin,Madison (Fitchburg),0,1,Shot - Wounded/Injured,43.0241,-89.4709,1.0,,0::Adult 18+,,,0::Injured,0::Victim
903711,2017-08-01,Kentucky,Covington,1,1,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",39.0773,-84.5035,1.0,0::25||1::40,0::Adult 18+||1::Adult 18+,0::Male,,0::Killed||1::Injured,0::Victim||1::Victim
904106,2017-08-01,Washington,Toppenish,0,6,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",46.3607,-120.523,1.0,0::25||1::21||2::22||3::19||4::19||5::18||6::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Female||1::Male||2::Male||3::Male||4::Male||5::Male||6::Male,,"0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Injured||6::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Subject-Suspect
904116,2017-08-01,Florida,Crestview,0,0,Shots Fired - No Injuries||Brandishing/flourishing/open carry/lost/found,30.76,-86.5806,1.0,0::31,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
915641,2017-08-01,District of Columbia,Washington,0,0,Non-Shooting Incident||ATF/LE Confiscation/Raid/Arrest||Brandishing/flourishing/open carry/lost/found,38.9098,-76.9366,1.0,,,,,,
915643,2017-08-01,District of Columbia,Washington,0,0,Non-Shooting Incident||ATF/LE Confiscation/Raid/Arrest||Brandishing/flourishing/open carry/lost/found,38.9615,-77.0282,1.0,,,,,,
