incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
669265,2016-10-01,Virginia,Roanoke,0,0,Shots Fired - No Injuries||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator ),,,2.0,0::32||1::32,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Unharmed, Arrested||1::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect
940086,2016-10-01,Wisconsin,Beloit,0,0,Shots Fired - No Injuries||Possession of gun by felon or prohibited person,42.5126,-89.0527,1.0,0::40,0::Adult 18+,0::Male,,0::Unharmed,0::Subject-Suspect
667393,2016-10-01,Ohio,Cleveland,1,0,"Shot - Dead (murder, accidental, suicide)",41.5279,-81.6339,1.0,0::27,0::Adult 18+,0::Male,,0::Killed,0::Victim
1073232,2016-10-01,Massachusetts,Lynn,0,0,"Shots Fired - No Injuries||Drive-by (car to street, car to car)||Gang involvement",42.4635,-70.9453,1.0,0::26,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
992996,2016-10-01,Montana,Missoula,0,0,Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,46.8561,-114.016,4.0,0::53,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
667172,2016-10-01,Virginia,Hampton,0,1,Shot - Wounded/Injured||Institution/Group/Business,37.041,-76.3905,1.0,0::22,0::Adult 18+,0::Male,,0::Injured,0::Victim
667867,2016-10-01,Massachusetts,Boston,0,0,Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,42.3005,-71.0829,1.0,,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,"0::Unharmed, Arrested||1::Unharmed, Arrested||2::Unharmed, Arrested||3::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect
668935,2016-10-01,North Carolina,Fayetteville,0,0,Institution/Group/Business||Shots Fired - No Injuries||School Incident||School Shooting - university/college||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes),,,1.0,0::25||1::18,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,"0::Unharmed, Arrested||1::Unharmed",0::Subject-Suspect||1::Subject-Suspect
667264,2016-10-01,Georgia,Mcdonough,1,0,"Shot - Dead (murder, accidental, suicide)||Non-Aggression Incident||Accidental Shooting||Accidental Shooting - Death||Accidental/Negligent Discharge||Playing with gun||Child Involved Incident||Child picked up & fired gun||Child killed by child",,,1.0,0::1||1::3,0::Child 0-11||1::Child 0-11,0::Male||1::Male,1::Family,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect
667878,2016-10-01,New York,Buffalo,0,0,Shots Fired - No Injuries,42.9417,-78.8137,1.0,,0::Adult 18+,0::Female,,0::Unharmed,0::Victim
671035,2016-10-01,Kansas,Topeka,0,0,Non-Shooting Incident||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,39.0533,-95.6717,1.0,0::30,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
668909,2016-10-01,Rhode Island,Providence,0,0,"Shots Fired - No Injuries||Drive-by (car to street, car to car)",41.8027,-71.4328,1.0,,,,,,
