incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
1024565,2018-01-10,California,El Cajon,0,0,"Non-Shooting Incident||School Incident||Gun at school, no death/injury - elementary/secondary school||LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite||Possession (gun(s) found during commission of other crimes)||BB/Pellet/Replica gun||Brandishing/flourishing/open carry/lost/found",32.8001,-116.917,1.0,,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
1025324,2018-01-10,Ohio,Toledo,0,1,Shot - Wounded/Injured,41.6508,-83.4953,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
1025382,2018-01-10,Kentucky,Louisville,0,0,Non-Shooting Incident||Home Invasion||Home Invasion - No death or injury||Brandishing/flourishing/open carry/lost/found,38.2185,-85.751,1.0,0::23||1::23||2::23||3::20,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Male||3::Male,,"0::Unharmed, Arrested||1::Unharmed, Arrested||2::Unharmed, Arrested||3::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect||2::Subject-Suspect||3::Subject-Suspect
1025397,2018-01-10,Massachusetts,New Bedford,0,0,Shots Fired - No Injuries||ShotSpotter,41.6456,-70.9318,1.0,,,,,,
1059686,2018-01-10,Maine,Belfast,0,0,Non-Shooting Incident||Brandishing/flourishing/open carry/lost/found,44.4469,-69.0209,1.0,0::57,0::Adult 18+,0::Female,,"0::Unharmed, Arrested",0::Subject-Suspect
1028700,2018-01-10,Texas,Lufkin,0,0,Non-Shooting Incident||Non-Aggression Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,31.35,-94.7341,1.0,,0::Adult 18+,0::Male,,0::Arrested,0::Subject-Suspect
1025464,2018-01-10,New York,Buffalo,0,0,Shots Fired - No Injuries,42.9251,-78.8279,1.0,,,0::Male,,,0::Subject-Suspect
1025036,2018-01-10,New York,Corona (Queens),0,0,Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant,40.6692,-73.7659,8.0,0::39,0::Adult 18+,0::Male,,0::Arrested,0::Subject-Suspect
1024046,2018-01-10,Michigan,Detroit,0,1,"Shot - Wounded/Injured||Drive-by (car to street, car to car)",42.3438,-83.0892,1.0,0::34,0::Adult 18+,0::Male,,0::Injured,0::Victim
1023997,2018-01-10,Florida,Ocala,1,0,"Shot - Dead (murder, accidental, suicide)",29.2353,-82.1591,1.0,0::54,0::Adult 18+,0::Male,,0::Killed,0::Victim
1024811,2018-01-10,Illinois,Chicago,0,1,Shot - Wounded/Injured,41.8847,-87.7111,1.0,0::29,0::Adult 18+,0::Male,,0::Injured,0::Victim
1025503,2018-01-10,Maryland,Hyattsville,0,1,Shot - Wounded/Injured,38.9206,-76.8916,1.0,,,,,0::Injured,0::Victim
1025118,2018-01-10,Wisconsin,Madison,0,0,Non-Shooting Incident||Gun(s) stolen from owner,43.0333,-89.3738,10.0,,,,,,
1024610,2018-01-10,Connecticut,Glastonbury,1,0,"Shot - Dead (murder, accidental, suicide)||Suicide^",41.7033,-72.5602,1.0,,0::Adult 18+,0::Male,,0::Killed,0::Victim
1026129,2018-01-10,Texas,San Antonio,1,0,"Shot - Dead (murder, accidental, suicide)",29.5103,-98.4029,1.0,0::35,0::Adult 18+,0::Male,,0::Killed,0::Victim
1025370,2018-01-10,Kansas,Shawnee,0,1,Shot - Wounded/Injured,39.0148,-94.7424,1.0,0::19,0::Adult 18+,0::Female,,0::Injured,0::Victim
1026222,2018-01-10,Florida,Tallahassee,0,0,Institution/Group/Business||Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,30.4129,-84.2802,1.0,,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
1025259,2018-01-10,California,Fresno,0,0,Non-Shooting Incident||Gang involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,36.7387,-119.79,1.0,0::32,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
1025365,2018-01-10,Texas,San Antonio,0,1,Shot - Wounded/Injured,29.5783,-98.5863,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
1024728,2018-01-10,Florida,Wellington,0,0,"Shots Fired - No Injuries||Officer Involved Incident||Officer Involved Shooting - Shots fired, no injury||Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff||Domestic Violence||Brandishing/flourishing/open carry/lost/found",26.6648,-80.2656,1.0,,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
1024307,2018-01-10,Ohio,Columbus,1,0,"Shot - Dead (murder, accidental, suicide)",39.9842,-82.9487,1.0,0::29,0::Adult 18+,,,0::Killed,0::Victim
1025490,2018-01-10,Missouri,Saint Louis,0,0,Shots Fired - No Injuries,38.7365,-90.2412,1.0,,,,,,
1025335,2018-01-10,Missouri,Saint Louis,0,0,"Shots Fired - No Injuries||Drive-by (car to street, car to car)",38.6088,-90.2319,1.0,,,,,,
1023912,2018-01-10,Missouri,Saint Louis,0,1,Shot - Wounded/Injured||Child Involved Incident||Child injured (not child shooter),38.7598,-90.2487,1.0,0::8,0::Child 0-11,0::Female,,0::Injured,0::Victim
1024012,2018-01-09,Arkansas,Little Rock,0,1,Shot - Wounded/Injured,34.7253,-92.3241,1.0,,,,,0::Injured,0::Victim
1023272,2018-01-09,Illinois,Chicago,0,1,Shot - Wounded/Injured,41.7622,-87.6819,1.0,0::28,0::Adult 18+,0::Male,,0::Injured,0::Victim
1023537,2018-01-09,Oklahoma,Tulsa,0,1,Shot - Wounded/Injured||Gang involvement||Possession of gun by felon or prohibited person,36.2081,-95.9733,1.0,1::17,0::Adult 18+||1::Teen 12-17,0::Male||1::Male,,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
1024104,2018-01-09,Illinois,Chicago,1,0,"Shot - Dead (murder, accidental, suicide)",41.8785,-87.7541,1.0,0::26,0::Adult 18+,0::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect
1023776,2018-01-09,Illinois,Chicago,1,0,"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",41.6531,-87.6141,1.0,0::17,0::Teen 12-17,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect
1024461,2018-01-09,Delaware,Milton,0,1,"Shot - Wounded/Injured||Drive-by (car to street, car to car)",38.7297,-75.2614,1.0,0::23,0::Adult 18+,0::Male||1::Male,,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
1023564,2018-01-09,North Carolina,Mooresboro,1,1,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",35.2828,-81.7149,1.0,0::48||1::41,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Injured,0::Victim||1::Subject-Suspect
1023612,2018-01-09,West Virginia,Charleston (South Charleston),0,1,Shot - Wounded/Injured||Home Invasion||Home Invasion - Resident injured,38.3661,-81.6974,1.0,0::34,0::Adult 18+,0::Male,,0::Injured,0::Victim
