incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
925002,2017-09-01,Michigan,Battle Creek,0,0,Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,,,3.0,,0::Adult 18+||1::Adult 18+,0::Male||1::Female,,"0::Unharmed, Arrested||1::Unharmed, Arrested",0::Subject-Suspect||1::Subject-Suspect
925109,2017-09-01,California,Riverside,1,0,"Shot - Dead (murder, accidental, suicide)||Institution/Group/Business||Armed robbery with injury/death and/or evidence of DGU found",,,1.0,0::27,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,1::Armed Robbery||2::Armed Robbery,0::Killed||1::Unharmed||2::Unharmed,0::Victim||1::Subject-Suspect||2::Subject-Suspect
925007,2017-09-01,Wisconsin,Milwaukee,0,1,Shot - Wounded/Injured,43.0716,-87.9574,1.0,0::18,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
930980,2017-09-01,California,Chico,0,1,Shot - Wounded/Injured||Institution/Group/Business||House party,39.7223,-121.838,1.0,,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
926209,2017-09-01,New Mexico,Albuquerque,1,0,Non-Shooting Incident||Brandishing/flourishing/open carry/lost/found,,,1.0,1::31,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Killed||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
928767,2017-09-01,Oklahoma,Miami,1,0,"Shot - Dead (murder, accidental, suicide)||Suicide^",36.8722,-94.8831,1.0,0::19,0::Adult 18+,0::Male,,0::Killed,0::Victim
926881,2017-09-01,Tennessee,Memphis,1,0,"Shot - Dead (murder, accidental, suicide)",35.1192,-90.0307,1.0,0::19,0::Adult 18+,0::Male,,0::Killed,0::Victim
926244,2017-09-01,Georgia,Columbus,0,0,Shots Fired - No Injuries,,,1.0,,,,,,
925621,2017-09-01,Kentucky,Bronston,0,1,Shot - Wounded/Injured||Accidental Shooting||Accidental Shooting - Injury||Accidental/Negligent Discharge,37.1023,-84.6062,1.0,0::25,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
925335,2017-09-01,South Carolina,North Charleston,0,1,Shot - Wounded/Injured||Institution/Group/Business||Non-Aggression Incident||Accidental Shooting||Accidental Shooting - Injury||Accidental Shooting at a Business||Accidental/Negligent Discharge||Self-Inflicted (not suicide or suicide attempt - NO PERP)||School Incident||School Shooting - elementary/secondary school||LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,32.8546,-79.9808,1.0,0::17,0::Teen 12-17,0::Male,,0::Injured,0::Subject-Suspect
